Character	Pinyin
大	dà
多	duō
高兴	gāoxìng
好	hǎo
冷	lěng
漂亮	piàoliang
热	rè
少	shǎo
小	xiǎo
不	bù
没有	méiyǒu
很	hěn
太	tài
都	dōu
会	huì
能	néng
想	xiǎng
和	hé
这	zhè
那	nà
喂	wèi
多少	duōshǎo
几	jǐ
哪	nǎ
哪儿	nǎr
什么	shénme
谁	shéi
怎么	zěnme
怎么样	zěnmeyàng
本	běn
个	gè
块	kuài
岁	suì
些	xiē
一点儿	yīdiǎnr
爸爸	bàba
北京	Běijīng
杯子	bēizi
菜	cài
茶	chá
出租车	chūzūchē
点	diǎn
电脑	diànnǎo
电视	diànshì
电影	diànyǐng
东西	dōngxi
儿子	érzi
饭店	fàndiàn
飞机	fēijī
分钟	fēnzhōng
狗	gǒu
汉语	hànyǔ
后面	hòumiàn
家	jiā
今天	jīntiān
老师	lǎoshī
里面	lǐmiàn
妈妈	māma
猫	māo
米饭	mǐfàn
明天	míngtiān
名字	míngzi
年	nián
女儿	nǚ'ér
朋友	péngyou
苹果	píngguǒ
钱	qián
前面	qiánmiàn
人	rén
上	shàng
商店	shāngdiàn
上午	shàngwǔ
时候	shíhou
书	shū
水	shuǐ
水果	shuǐguǒ
天气	tiānqì
同学	tóngxué
下	xià
先生	xiānsheng
现在	xiànzài
小姐	xiǎojiě
下午	xiàwǔ
星期	xīngqī
学生	xuéshēng
学校	xuéxiào
衣服	yīfu
医生	yīshēng
医院	yīyuàn
椅子	yǐzi
月	yuè
中国	Zhōngguó
中午	zhōngwǔ
桌子	zhuōzi
字	zì
昨天	zuótiān
一	yī
二	èr
三	sān
四	sì
五	wǔ
六	liù
七	qī
八	bā
九	jiǔ
十	shí
号	hào
的	de
了	le
吗	ma
呢	ne
你	nǐ
他	tā
她	tā
我	wǒ
我们	wǒmen
不客气	búkèqì
打电话	dǎdiànhuà
没关系	méiguānxì
在	zài
爱	ài
吃	chī
读	dú
对不起	duìbùqǐ
工作	gōngzuò
喝	hē
回	huí
叫	jiào
开	kāi
看	kàn
看见	kànjiàn
来	lái
没有	méiyǒu
买	mǎi
请	qǐng
去	qù
认识	rènshi
是	shì
睡觉	shuìjiào
说	shuō
听	tīng
下雨	xiàyǔ
写	xiě
谢谢	xièxie
喜欢	xǐhuān
学习	xuéxí
有	yǒu
再见	zàijiàn
住	zhù
做	zuò
坐	zuò